SN,tel,eng,names,finalised
1084,రాజ్దీప్ హాస్పిటల్,Rajdeep హాస్పిటల్,రాజదీప్ హాస్పిటల్,రాజ్దీప్ హాస్పిటల్
1085,ఆర్ K హాస్పిటల్ (గజూవకా హాస్పిటల్ ప్రెవేట్ యొక్క ఒక యూనిట్ లిమిటెడ్ .,R K హాస్పిటల్ (A Unit of Gajuwaka హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .),ర్ కే హాస్పిటల్ (యూనిట్ అఫ్ గాజువాక హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .),RK హాస్పిటల్ (యూనిట్ అఫ్ గాజువాక హాస్పిటల్ ప్రైవేట్. లిమిటెడ్ .)
1086,పీపుల్స్ జనరల్ హాస్పిటల్ (ప్రైవేట్.) లిమిటెడ్,People's General హాస్పిటల్ (ప్రైవేట్.) లిమిటెడ్ .,People's జనరల్ హాస్పిటల్ (ప్రైవేట్.) లిమిటెడ్ .,పీపుల్స్ జనరల్ హాస్పిటల్ (ప్రైవేట్.) లిమిటెడ్
1087,"కిడ్స్ క్లినిక్ భారతదేశం ప్రైవేట్. లిమిటెడ్, క్లౌడ్ నైన్ హాస్పిటల్ ","Kids Clinic ఇండియా ప్రైవేట్. లిమిటెడ్ ., క్లౌడ్ నైన్ హాస్పిటల్","కిడ్స్ క్లినిక్ ఇండియా ప్రైవేట్. లిమిటెడ్ ., క్లోజుడ్నినే హాస్పిటల్","కిడ్స్ క్లినిక్ భారతదేశం ప్రైవేట్. లిమిటెడ్, క్లౌడ్ నైన్ హాస్పిటల్ "
1088,"ఇండస్ ఫతేఘర్ సాహిబ్ హాస్పిటల్, ఫతేఘర్ సాహిబ్ ","Indus Fatehgarh Sahib హాస్పిటల్, Fatehgarh Sahib","ఇండస్ ఫతేహ్గర్హ్ సాహిబ్ హాస్పిటల్, ఫతేహ్గర్హ్ సాహిబ్","ఇండస్ ఫతేఘర్ సాహిబ్ హాస్పిటల్, ఫతేఘర్ సాహిబ్ "
1089,"ధవన్ నర్సింగ్ హోమ్ అండ్ హాస్పిటల్, టార్న్ టరన్ ","Dhawan Nursing Home అండ్ హాస్పిటల్, Tarn Taran","ధావన్ నర్సింగ్ హోమ్ అండ్ హాస్పిటల్, టర్న్ తరం","ధవన్ నర్సింగ్ హోమ్ అండ్ హాస్పిటల్, టార్న్ టరన్ "
1090,అపెక్స్ హాస్పిటల్ అండ్ ప్రసూతి హోమ్,Apex హాస్పిటల్ And Maternity Home,అపెక్స్ హాస్పిటల్ అండ్ మెటర్నిటీ హోమ్,అపెక్స్ హాస్పిటల్ అండ్ ప్రసూతి హోమ్
1091,డాక్టర్ ఆదర్శ్ హార్ట్ అండ్ సూపర్స్పాలిసిటీ హాస్పిటల్,Dr. Adarsh Heart and Superspeciality హాస్పిటల్,Dr. ఆదర్శ్ హార్ట్ అండ్ సూపర్ స్పెషలిటీ హాస్పిటల్,డాక్టర్ ఆదర్శ్ హార్ట్ అండ్ సూపర్స్పాలిసిటీ హాస్పిటల్
1092,చావ్లా నర్సింగ్ హోమ్ అండ్ మెటర్నిటీ హాస్పిటల్,Chawla Nursing Home And Maternity హాస్పిటల్,Chawla నర్సింగ్ హోమ్ అండ్ మెటర్నిటీ హాస్పిటల్,చావ్లా నర్సింగ్ హోమ్ అండ్ మెటర్నిటీ హాస్పిటల్
1093,భారతదేశం కిడ్నీ హాస్పిటల్ అండ్ డయాలిసిస్ సెంటర్,ఇండియా Kidney హాస్పిటల్ అండ్ Dialysis Centre,ఇండియా కిడ్నీ హాస్పిటల్ అండ్ డయాలిసిస్ సెంటర్,భారతదేశం కిడ్నీ హాస్పిటల్ అండ్ డయాలిసిస్ సెంటర్
1094,"జననాంద నీడ ఇన్స్టిట్యూట్, భీమవరం ","Jnanananda Ophthalmic Institute, Bhimavaram","జ్ఞానానంద ఆఫ్తాల్మిక్ Institute, భీమవరం","జ్ఞానానంద ఆఫ్తాల్మిక్ Institute, భీమవరం"
1095,పార్ ఆసుపత్రి,Parhar హాస్పిటల్,పర్హార్ హాస్పిటల్,పర్హార్ హాస్పిటల్
1096,రాధానిషన్ హాస్పిటల్,Radhakishan హాస్పిటల్,రాధాకిషన్ హాస్పిటల్,రాధాకిషన్ హాస్పిటల్
1097,J.P. ఆసుపత్రి,J.P. హాస్పిటల్,J.P. హాస్పిటల్,J.P. ఆసుపత్రి
1098,హాస్పిటల్ టచ్,Sparsh హాస్పిటల్,స్పర్శ్ హాస్పిటల్,స్పర్శ్ హాస్పిటల్
1099,అగర్వాల్ నర్సింగ్ హోమ్,Agarwal Nursing Home,అగర్వాల్ నర్సింగ్ హోమ్,అగర్వాల్ నర్సింగ్ హోమ్
1100,సత్యం హాస్పిటల్ అండ్ ట్రామా సెంటర్,Satyam హాస్పిటల్ and Trauma Centre,సత్యం హాస్పిటల్ అండ్ ట్రామా సెంటర్,సత్యం హాస్పిటల్ అండ్ ట్రామా సెంటర్
1101,ఆనంద్ హార్ట్ అండ్ మల్టీ-స్పెషాలిటీ హాస్పిటల్,Anand Heart అండ్ Multi-Specialty హాస్పిటల్,ఆనంద్ హార్ట్ అండ్ Multi-Specialty హాస్పిటల్,ఆనంద్ హార్ట్ అండ్ మల్టీ-స్పెషాలిటీ హాస్పిటల్
1102,ట్రస్ట్ ఆసుపత్రి,Trust హాస్పిటల్,ట్రస్ట్ హాస్పిటల్,ట్రస్ట్ హాస్పిటల్
1103,అపెక్స్ సూరత్ ఘర్ మల్టిప్సియాలిటీ హాస్పిటల్ ప్రైవేట్ లిమిటెడ్,Apex Suratgarh Multispeciality హాస్పిటల్ ప్రైవేట్ లిమిటెడ్ ,అపెక్స్ సురేట్గార్హ్ ముల్టీస్పెషలిటీ హాస్పిటల్ పీప్ట్ ల్టీడ్,అపెక్స్ సూరత్ ఘర్ మల్టిప్సియాలిటీ హాస్పిటల్ ప్రైవేట్ లిమిటెడ్
1104,నార్త్ స్టార్ హాస్పిటల్ (మిరాకిల్ మెడికేర్ ప్రైవేట్ యొక్క యూనిట్ లిమిటెడ్ .),North Star హాస్పిటల్ (A Unit Of Miracle Medicare ప్రైవేట్. లిమిటెడ్ .),నార్త్ స్టార్ హాస్పిటల్ (యూనిట్ అఫ్ మిరచ్లె మెడికేర్ ప్రైవేట్. లిమిటెడ్ .),నార్త్ స్టార్ హాస్పిటల్ (మిరాకిల్ మెడికేర్ ప్రైవేట్ యొక్క యూనిట్ లిమిటెడ్ .)
1105,కేర్ హాస్పిటల్స్ (విశాఖ ఆస్పత్రులు అండ్ డయాగ్నోస్టిక్స్ లిమిటెడ్),Care హాస్పిటల్స్ (Visakha హాస్పిటల్స్ and Diagnostics లిమిటెడ్ .),కేర్ హాస్పిటల్స్ (Visakha హాస్పిటల్స్ అండ్ దియాగ్నోస్టిక్స్ లిమిటెడ్ .),కేర్ హాస్పిటల్స్ (విశాఖ ఆస్పత్రులు అండ్ డయాగ్నోస్టిక్స్ లిమిటెడ్)
